establecimiento,razon_social,productos
SOYAPAMPA SA,EL CARDALITO,CEREALES Y OLEAGINOSAS
SOYAPAMPA SA,BUENA ESPERANZA,CEREALES Y OLEAGINOSAS
TANDIL VACARA SRL,SAN MIGUEL,VACAS
TANDIL VACARA SRL,SAN MIGUEL,VAQUILLONAS
TANDIL VACARA SRL,SAN MIGUEL,TOROS
TANDIL VACARA SRL,SAN MIGUEL,TERNEROS
TANDIL VACARA SRL,SAN MIGUEL,TERNERAS
TENAX S.A.,FINCA DON PEDRO,MORA
TENAX S.A.,FINCA DON PEDRO,INCULTO
TENAX S.A.,FINCA DON PEDRO,ARANDANO
TENAX S.A.,FINCA DON PEDRO,FRAMBUESA
TENAX S.A.,FINCA DON PEDRO,PERA
TENAX S.A.,FINCA DON PEDRO,MANDARINA
TENAX S.A.,FINCA DON PEDRO,NARANJA
TENAX S.A.,FINCA DON PEDRO,LIMON
TENAX S.A.,FINCA DON PEDRO,NUEZ PECAN
TENAX S.A.,FINCA DON PEDRO,HIGOS
TENAX S.A.,FINCA DON PEDRO,DURAZNO
TENAX S.A.,FINCA DON PEDRO,CIRUELA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,RAIZ
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,HOJAS
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,FRUTOS
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,CAROZO
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,PEPITA
TESTONI VICTOR,ARCOS DEL INTI - PRODUCTOR,CITRICOS.
"VEXENAT PABLO C., FONTENLA DIEGO A.(AGROINDECO SRL) Y GIACHETTI WALTER",PURO CAMPO,CEREALES Y OLEAGINOSAS Y GANADERIA BOVINA
VIRTUD SA,EL CICLON LOTE 1,MAIZ
VIRTUD SA,EL CICLON LOTE 1,SOJA
VIRTUD SA,EL CICLON LOTE 1,GIRASOL
BUSTAMANTE LUIS,FINCAS DON ROGELIO,UVA
BUSTAMANTE LUIS,FINCAS DON ROGELIO,INCULTO
BUSTAMANTE LUIS,FINCAS DON ROGELIO,PASAS DE UVA
FRUTOS DEL NORTE SA,FRUTOS DEL NORTE S.A.,OLIVOS
LA BUENA VIDA S.R.L.,RIO SINGUIL,MAIZ
LA BUENA VIDA S.R.L.,RIO SINGUIL,POROTO
LA BUENA VIDA S.R.L.,RIO SINGUIL,AMARANTO
LA BUENA VIDA S.R.L.,DON MIGUEL,MAIZ
LA BUENA VIDA S.R.L.,DON MIGUEL,GARBANZO
LA BUENA VIDA S.R.L.,DON MIGUEL,POROTO
LA LUNA DE CATAMARCA SA,GRUPO AO,OLIVOS
LA OVEJERIA CONSTRUCCIONES S.R.L.,EL BAÑADO,CHIA (SALVIA HISPANICA L.)
"LONGO, PASCUAL",PASCUAL LONGO,VID
OLIVARES DE POMAN SA,COMPLEJO OLIVICOLA SAN JOSE,OLIVOS
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),GERANIO
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),PASTO LIMON
OLIVAS AL MUNDO S.A.,OLIVAS AL MUNDO (CAMPO),OREGANO
AGRO PROFESIONAL SA,LOSITA,CEREALES
AGRO PROFESIONAL SA,LOSITA,OLEAGINOSAS Y LEGUMINOSAS
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,GARBANZO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,GIRASOL
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,MAIZ
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,TRIGO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,MANI
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,POROTO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,CHIA
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,AMARANTO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,SESAMO
CONOSUR FOODS ARGENTINA SRL,ROBLEDO,ARVEJA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,ACELGA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,ESPINACA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,LERCHUGA GALLEGA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,LECHUGA MANTECOSA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,LECHUGA CRESPA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,PEREJIL
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,RABANITO
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,ESCAROLA FINA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,ZANAHORIA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,ROMERO
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,CEBOLLA DE VERDEO
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,RUCULA
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,CIRUELAS
DE ZARATE MARCOS SEBASTIAN,MARCOS DE ZARATE,DURAZNOS.
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,TRIGO
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,MAIZ
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,SOJA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,ALFALFA
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,CENTENO
FOUNDATION RACHEL Y PAMELA SCHIELE,LAS DOS HERMANAS,GANADERIA BOVINA
FRANCO BATAN Y ROSA SIGISMUNDI S.H.,BIO HONEY,MIEL Y SUBPRODUCTOS DE LA COLMENA
HUANQUI S.A.,ALTOS VERDES,MAIZ
HUANQUI S.A.,ALTOS VERDES,TRIGO
HUANQUI S.A.,ALTOS VERDES,SOJA
LA MECO S.R.L,LA PASCUALINA,TOMILLO
LA MECO S.R.L,LA PASCUALINA,SALVIA
LA MECO S.R.L,LA PASCUALINA,OREGANO
LA MECO S.R.L,LA PASCUALINA,PEREJIL
LA MECO S.R.L,LA PASCUALINA,PUERRO
LA MECO S.R.L,LA PASCUALINA,CEBOLLA
LA MECO S.R.L,LA PASCUALINA,ZANAHORIA
LA MECO S.R.L,LA PASCUALINA,LECHUGA
LA MECO S.R.L,LA PASCUALINA,ACELGA
LA MECO S.R.L,LA PASCUALINA,ZAPALLITO
LA MECO S.R.L,LA PASCUALINA,REMOLACHA
LA MECO S.R.L,LA PASCUALINA,CHOCLO
LA MECO S.R.L,LA PASCUALINA,ZUCCINI
LA MECO S.R.L,LA PASCUALINA,ESPINACA
LA MECO S.R.L,LA PASCUALINA,RABANITO
LA MECO S.R.L,LA PASCUALINA,CHAUCHA
LA MECO S.R.L,LA PASCUALINA,RUCULA
LA MECO S.R.L,LA PASCUALINA,CILANTRO
LA MECO S.R.L,LA PASCUALINA,NABO
LA MECO S.R.L,LA PASCUALINA,PEPINO
LA MECO S.R.L,LA PASCUALINA,APIO
LA MECO S.R.L,LA PASCUALINA,MELON
LA MECO S.R.L,LA PASCUALINA,ZAPALLO
LA MECO S.R.L,LA PASCUALINA,ROMERO
LA MECO S.R.L,LA PASCUALINA,ESPARRAGOS
MARIA ELVIRA SAGASTI,ARCA DEL SOL,CEBADA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,ALFALFA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,VICIA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,RABANITO
MARIA ELVIRA SAGASTI,ARCA DEL SOL,NABO
MARIA ELVIRA SAGASTI,ARCA DEL SOL,REMOLACHA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,RUCULA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,LECHUGA
MARIA ELVIRA SAGASTI,ARCA DEL SOL,PUERRO
MARIA ELVIRA SAGASTI,ARCA DEL SOL,CEBOLLA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,ACEITUNAS
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,OLIVO
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,MELON
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,TOMATE
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,ZAPALLO
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,CEBOLLA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,ZANAHORIA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,MANZANILLA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,PAPA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,REMOLACHA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,ACELGA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,ESPINACA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,PIMIENTO
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,LECHUGA
OLIVARES Y VIÑEDOS SAN NICOLAS S.A.,OLIVARES Y VIÑEDOS SAN NICOLAS,PEREJIL
POSTEL SA,LAS GAVIOTAS,TERNEROS
POSTEL SA,LAS GAVIOTAS,VACAS
POSTEL SA,LAS GAVIOTAS,VAQUILLONAS
POSTEL SA,LAS GAVIOTAS,TOROS
PRONUT SRL,LA MORA,CEREALES Y OLEAGINOSAS
RAFAGOS SA,LAS PALOMAS,GARBANZO
RAFAGOS SA,LAS PALOMAS,GIRASOL
RAFAGOS SA,LAS PALOMAS,MAIZ
RAFAGOS SA,LAS PALOMAS,TRIGO
RAFAGOS SA,LAS PALOMAS,MANI
RAFAGOS SA,LAS PALOMAS,POROTO
RAFAGOS SA,LAS PALOMAS,CHIA
RAFAGOS SA,LAS PALOMAS,AMARANTO
RAFAGOS SA,LAS PALOMAS,SESAMO
RAFAGOS SA,LAS PALOMAS,ARVEJAS
RAFAGOS SA,LAS PALOMAS,OLIVAS Y OTROS.   
SARDI JOSE LUIS,COLMENARES ELCANO,NUCLEOS
SARDI JOSE LUIS,COLMENARES ELCANO,COLMENAS
SARDI JOSE LUIS,COLMENARES ELCANO,ALZA MELARIA
WELEDA S.A.,WELEDA,AROMATICAS
ECA  SA,LA VICTORINA,MANDARINA
ECA  SA,LA VICTORINA,NARANJA
FEYEN ROBERTO,MARIA ANGELICA,LIMON
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,INCULTO
GONCALVEZ ARTURO ELIAS,ESTANCIA SANTA ANA,ARROZ
GUIDOBONO JOSE MARIA,CAMPO AFUERA,ARROZ
GUIDOBONO JOSE MARIA,TUNAS,ARROZ
KITASAN S.A.,KITASAN,ARROZ
KITASAN S.A.,KITASAN,CAMPO NATURAL
RIGO MARQUES GILMAR,PIRAYU,INCULTO
RIGO MARQUES GILMAR,PIRAYU,DESCANSO
RIGO MARQUES GILMAR,PIRAYU,ARROZ
RIGO MARQUES GILMAR,PIRAYU,MONTE
"RODRIGUEZ BASIGALUP , HECTOR M.",LIMONES DEL SOL 1 Y 2,LIMON
BIO AGRICULTORES S.A.,CAMPO CHACO,ZAPALLO
BIO AGRICULTORES S.A.,CAMPO CHACO,DESCANSO
BIO AGRICULTORES S.A.,CAMPO CHACO,INCULTO
BIO AGRICULTORES S.A.,CAMPO PALOMO,ZAPALLO
BIO AGRICULTORES S.A.,CAMPO PALOMO,CAMPO NATURAL
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,ALZA MELARIA
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,COLMENAS
CODUTTI DANIEL HUGO,CAMPO VALUSSI - CAMPO ROSSO,NUCLEOS
DIAZ RAFAEL JAVIER,EL CHILCAL,ARROZ
DIAZ RAFAEL JAVIER,EL CHILCAL,INCULTO
ECA S.A.,ZONA GRAL SAN MARTIN DE RECOLECCION SILVESTRE,POMELO
FABIO J PAVON,COLMENARES DON DALMACIO,MIEL Y SUBPRODUCTOS DE LA COLMENA
GONZALEZ ROQUE O. Y COOPSOL LTDA.,APIARIO BF,MIEL Y SUBPRODUCTOS DE LA COLMENA
HOLGADO LEONCIO Y COOPSOL LTDA.,APIARIO BG,MIEL Y SUBPRODUCTOS DE LA COLMENA
LA VICTORIA SRL,LA MANDARINA,ARROZ
RIMONDINO ENRIQUE,MIEL DE MONTE,NUCLEOS
RIMONDINO ENRIQUE,MIEL DE MONTE,COLMENAS
RIMONDINO ENRIQUE,MIEL DE MONTE,ALZA MELARIA
RIMONDINO ENRIQUE,MIEL DE MONTE,CERA
RODRIGUEZ ROSA A. Y COOPSOL LTDA.,APIARIO BI,MIEL Y SUBPRODUCTOS DE LA COLMENA
RUIZ ELVIO Y COOPSOL LTDA.,APIARIO BH,MIEL Y SUBPRODUCTOS DE LA COLMENA
14 DE ABRIL S.R.L.,LA LAURITA,VACAS
14 DE ABRIL S.R.L.,LA LAURITA,TOROS
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,OVEJAS
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,LANA SUCIA
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,CAPONES
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,BORREGAS
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,BORREGOS
ANTONELLA TORRACA Y OTROS S.H.,SAN JOSE,CARNEROS
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,LANA SUCIA
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,CAPONES
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,OVEJAS
ANTONELLA TORRACA Y OTROS S.H.,EL FREDE,CARNEROS
BARDAS BLANCAS S.A.,DON JOSE,LANA SUCIA
BARDAS BLANCAS S.A.,DON JOSE,GUANACOS
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,LANA SUCIA
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,CARNEROS
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,BORREGAS
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,OVEJAS
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,CAPONES
COMINAGRO GANADERA S.A.,MALLIN NEVADO-LOS RURALES-RANCHO GDE.-LA BLANCA,BORREGOS
COMPANIA DE TIERRAS TECKA S.A.,TECKA,TERNEROS
COMPANIA DE TIERRAS TECKA S.A.,TECKA,NOVILLOS
COMPANIA DE TIERRAS TECKA S.A.,TECKA,TOROS
COMPANIA DE TIERRAS TECKA S.A.,TECKA,VACAS
COMPANIA DE TIERRAS TECKA S.A.,TECKA,VAQUILLONAS
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA MONTOSO,GANADERIA BOVINA
COMPAÑIA DE TIERRAS SUD ARGENTINO SA,ESTANCIA MONTOSO,GANADERIA OVINA (CARNE Y LANA)
CUADRADA PRODUCTIONS S.R.L.,BAJADA DEL RADAL,ROSA MOSQUETA
CUYEN SRL,CUYEN,CASSIS
CUYEN SRL,CUYEN,FRAMBUESA
CUYEN SRL,CUYEN,MORA
CUYEN SRL,CUYEN,GROSELLA
CUYEN SRL ,CHACRA MICUCCI,CASSIS
CUYEN SRL ,CHACRA MICUCCI,FRAMBUESA
CUYEN SRL ,CHACRA MICUCCI,MORA
EL REZONGO SH,RAGOBET (ANIMAL),LANA SUCIA
EL REZONGO SH,RAGOBET (ANIMAL),OVEJAS
EL REZONGO SH,RAGOBET (ANIMAL),BORREGAS
EL REZONGO SH,RAGOBET (ANIMAL),CORDEROS
EL REZONGO SH,RAGOBET (ANIMAL),CAPONES
EL REZONGO SH,RAGOBET (ANIMAL),CARNEROS
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,VACAS
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,VAQUILLONAS
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,TOROS
EPIGRAN S.A.,LAS MERCEDES Y SECCION LA PALOMA,TERNEROS
FUHRMANN S.A,LAS VIOLETAS,OVEJAS
FUHRMANN S.A,LAS VIOLETAS,LANA SUCIA
FUHRMANN S.A,LAS VIOLETAS,BORREGOS
FUHRMANN S.A,LAS VIOLETAS,BORREGAS
FUHRMANN S.A,LAS VIOLETAS,CARNEROS
FUHRMANN S.A,LAS VIOLETAS,CAPONES
FUHRMANN S.A,SOFIA,LANA SUCIA
FUHRMANN S.A,SOFIA,OVEJAS
FUHRMANN S.A,SOFIA,BORREGOS
FUHRMANN S.A,SOFIA,CAPONES
FUHRMANN S.A,SOFIA,CARNEROS
FUHRMANN S.A,LA SUSANA,OVEJAS
FUHRMANN S.A,LA SUSANA,LANA SUCIA
FUHRMANN S.A,LA SUSANA,BORREGOS
FUHRMANN S.A,LA SUSANA,BORREGAS
FUHRMANN S.A,LA SUSANA,CAPONES
GALLIA MARCO,SAN JORGE,OVEJAS
GALLIA MARCO,SAN JORGE,CAPONES
GALLIA MARCO,SAN JORGE,CARNEROS
GALLIA MARCO,SAN JORGE,CORDEROS
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,TOROS
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,VACAS
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,TERNEROS
GANADERA VALLE HUEMULES S.A.,VALLE HUEMULES,TERNERAS
GARCIA SALVADOR O.,SAN GENARO,LANA SUCIA
GARCIA SALVADOR O.,SAN GENARO,OVEJAS
GARCIA SALVADOR O.,SAN GENARO,BORREGAS
GARCIA SALVADOR O.,SAN GENARO,CAPONES
GARCIA SALVADOR O.,SAN GENARO,BORREGOS
GARCIA SALVADOR O.,SAN GENARO,CARNEROS
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,LANA SUCIA
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,OVEJAS
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,CAPONES
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,BORREGOS
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,BORREGAS
GORDON MARY ANN Y RIBAYA EDUARDO SH,ELVIRA,CARNEROS
GUENGUEL S.R.L.,EL RELINCHO - LINDO PARAJE - EL PICADERO,GUANACOS
HIERBAS PATAGONICAS SRL,LA ASCENSION,PARAMELA
IANNINI S.A.,EL PICHE - SAN AMBROSIO,VAQUILLONAS
IANNINI S.A.,EL PICHE - SAN AMBROSIO,VACAS
IANNINI S.A.,EL PICHE - SAN AMBROSIO,TOROS
IANNINI S.A.,EL PICHE - SAN AMBROSIO,TERNEROS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,VACAS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,VAQUILLONAS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,TERNERAS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,NOVILLOS
JUAN CARLOS PAGASARTUNDUA Y J.N.P SH,LA SALINA - SIERRA FRIA Y LA PELIGROSA,TOROS
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,OVEJAS
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,BORREGAS
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,CORDEROS
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,CAPONES
JUAN MAZQUIARAN E HILDA VERDE SH,CAÑADON TACHO,CARNEROS
LA ALTURA SH,LA ALTURA,OVEJAS
LA ALTURA SH,LA ALTURA,LANA SUCIA
LA ALTURA SH,LA ALTURA,BORREGAS
LA ALTURA SH,LA ALTURA,BORREGOS
LA ALTURA SH,LA ALTURA,CAPONES
LA ALTURA SH,LA ALTURA,CARNEROS
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,LANA SUCIA
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,CARNEROS
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,BORREGAS
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,CAPONES
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,BORREGOS
LA ELISITA S.A.,LA ELISITA Y EL CHANGUITO,OVEJAS
"LOPEZ, CLAUDIA BEATRIZ",CBL,CASSIS
"LOPEZ, CLAUDIA BEATRIZ",CBL,FRAMBUESA
"LOPEZ, CLAUDIA BEATRIZ",CBL,MORA
"LOPEZ, CLAUDIA BEATRIZ",CBL,GROSELLA
"LOPEZ, CLAUDIA BEATRIZ",CBL,SAUCO
MAMINA SRL,ESTABLECIMIENTO MAMINA,FRAMBUESA
MAMINA SRL,ESTABLECIMIENTO MAMINA,BOYSENBERRY
MAMINA SRL,ESTABLECIMIENTO MAMINA,CASSIS
MAMINA SRL,ESTABLECIMIENTO MAMINA,MORA
MAMINA SRL,ESTABLECIMIENTO MAMINA,GUINDA
MAMINA SRL,ESTABLECIMIENTO MAMINA,SAUCO
MAMINA SRL,ESTABLECIMIENTO MAMINA,AVELLANO
MAMINA SRL,ESTABLECIMIENTO MAMINA,CORINTO
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),CARNEROS
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),OVEJAS
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),CAPONES
MAZQUIARAN NELSON,LA ANGELITA (ANIMAL),CORDEROS
MOTTINO CARLOS ANGEL,LOS MANANTIALES (ANIMAL),VACAS
PARALELO 42  S.A.,VALLE DEL MEDIO,MONTE
PARALELO 42  S.A.,VALLE DEL MEDIO,FRUTILLA
PARALELO 42  S.A.,VALLE DEL MEDIO,FRAMBUESA
PARALELO 42  S.A.,VALLE DEL MEDIO,GROSELLA
PARALELO 42  S.A.,VALLE DEL MEDIO,CORINTO
PARALELO 42  S.A.,VALLE DEL MEDIO,SAUCO
PARALELO 42  S.A.,VALLE DEL MEDIO,CEREZA
PARALELO 42  S.A.,VALLE DEL MEDIO,CAMPO NATURAL
PARALELO 42  S.A.,VALLE DEL MEDIO,GUINDAS
PARALELO 42  S.A.,VALLE DEL MEDIO,CASSIS
PARALELO 42  S.A.,VALLE DEL MEDIO,ZARZAMORA
PARALELO 42  S.A.,VALLE DEL MEDIO,ARANDANO
PATAGONIA IND. LANAR S.A.C.I.F.I. Y A.,CARIDAD,CAPONES
PUNTA QUIROGA S.A.,DON FRANCISCO,CARNEROS
PUNTA QUIROGA S.A.,DON FRANCISCO,LANA SUCIA
PUNTA QUIROGA S.A.,DON FRANCISCO,CAPONES
PUNTA QUIROGA S.A.,DON FRANCISCO,OVEJAS
PUNTA QUIROGA S.A.,DON FRANCISCO,BORREGAS
PUNTA QUIROGA S.A.,DON FRANCISCO,BORREGOS
PUNTA QUIROGA S.A.,DON FRANCISCO,CORDEROS
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),LANA SUCIA
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),OVEJAS
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),CAPONES
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),CARNEROS
RAICES PATAGONICAS S.A.,EL MIRABUENO (ANIMAL),BORREGOS
ROSA PATAGONICA S.A.,ROSA PATAGONICA,ROSA MOSQUETA
ROSA PATAGONICA S.A.,ROSA PATAGONICA,MORILLAS Y HIPERICOM
ROSANA N. PORCU,CAMINO VIEJO,FRAMBUESA
ROSANA N. PORCU,CAMINO VIEJO,FRUTILLA
ROSANA N. PORCU,CAMINO VIEJO,ROSA MOSQUETA
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),OVEJAS
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),LANA SUCIA
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),CAPONES
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),CARNEROS
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),BORREGAS
SCHULZE HERNAN LEO,LAS MELLIZAS Y SECCION LA BUENA FE (ANIMAL),BORREGOS
SORIANO SACIFIA Y DE M,BAHIA BUSTAMANTE,ALGAS MARINAS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,VACAS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,VAQUILLONAS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,NOVILLOS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,TERNEROS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,TERNERAS
SUCESORES DE RAMON LORENZO Y OTROS,LA NICOLASA,TOROS
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,OVEJAS
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,LANA SUCIA
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,BORREGAS
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,CAPONES
TIRSO FERNANDEZ  PEÑA,EL RISCOSO,CARNEROS
TORRES FEDERICO PATRICIO,LAS TIJERAS,OVEJAS
TORRES FEDERICO PATRICIO,LAS TIJERAS,BORREGAS
TORRES FEDERICO PATRICIO,LAS TIJERAS,BORREGOS
TORRES FEDERICO PATRICIO,LAS TIJERAS,CAPONES
TORRES FEDERICO PATRICIO,LAS TIJERAS,CARNEROS
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),LANA SUCIA
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),OVEJAS
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),CAPONES
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),CARNEROS
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),BORREGOS
VIÑAS MARIA TERESA,POZO HONDO (ANIMAL),BORREGAS
AGROYATAY S.R.L.,LA MARGARITA,GIRASOL AO
AGROYATAY S.R.L.,LA MARGARITA,SORGO BLANCO
AGROYATAY S.R.L.,LA MARGARITA,MIJO
AGROYATAY S.R.L.,LA MARGARITA,MAIZ PISINGALLO
AGROYATAY S.R.L.,LA MARGARITA,LINO DORADO
